Fecha analizada	Comportamiento de la accion	abs Diferencia Close-Open
2021-04-26	NO	1.0900120000000015
2021-04-27	NO	0.5800020000000075
2021-04-28	NO	0.8800050000000113
2021-04-29	SI	2.300003000000004
2021-04-30	NO	1.4199979999999925
2021-05-03	SI	1.6100009999999827
2021-05-04	SI	2.9400019999999927
2021-05-05	NO	0.4299929999999961
2021-05-06	SI	0.9500119999999868
2021-05-07	SI	0.1999969999999962
2021-05-10	SI	0.3700100000000077
2021-05-11	NO	1.7699889999999812
2021-05-12	NO	0.3399960000000135
2021-05-13	SI	2.990005999999994
2021-05-14	NO	1.2599950000000035
2021-05-17	NO	0.009995000000003529
2021-05-18	SI	0.47000099999999634
2021-05-19	SI	0.16999800000002097
2021-05-20	SI	1.1300050000000113
2021-05-21	NO	0.36999500000001717
2021-05-24	NO	0.3499909999999886
2021-05-25	NO	0.5899959999999851
2021-05-26	NO	0.9299929999999961
2021-05-27	NO	0.4499969999999962
2021-05-28	NO	0.27000400000000013
2021-06-01	NO	4.619994999999989
2021-06-02	SI	0.8999939999999924
2021-06-03	SI	0.14999400000002083
2021-06-04	NO	1.0399940000000072
2021-06-07	NO	1.1600039999999865
2021-06-08	NO	1.8900000000000148
2021-06-09	SI	1.599991000000017
2021-06-10	SI	1.0800020000000075
2021-06-11	NO	2.1100000000000136
2021-06-14	SI	0.8699949999999887
2021-06-15	NO	0.7399910000000034
2021-06-16	NO	0.3700100000000077
2021-06-17	SI	1.0299990000000037
2021-06-18	NO	1.2900080000000003
2021-06-21	SI	1.0699920000000134
2021-06-22	NO	0.09001200000000154
2021-06-23	NO	1.0599969999999814
2021-06-24	SI	0.09999099999998862
2021-06-25	SI	1.2700049999999976
2021-06-28	NO	0.41999799999999254
2021-06-29	SI	0.02999900000000366
2021-06-30	SI	0.7400049999999965
2021-07-01	SI	1.2200019999999938
2021-07-02	SI	2.9599919999999997
2021-07-06	SI	0.05999700000000985
2021-07-07	SI	1.9300079999999866
2021-07-08	SI	0.38000500000001125
2021-07-09	SI	0.38000500000001125
2021-07-12	NO	0.25
2021-07-13	SI	0.3000030000000038
2021-07-14	SI	0.41999799999999254
2021-07-15	NO	0.930008000000015
2021-07-16	NO	0.23999000000000592
2021-07-19	SI	0.4000090000000114
2021-07-20	SI	1.5500030000000038
2021-07-21	SI	0.19000199999999268
2021-07-22	SI	0.6199949999999887
2021-07-23	SI	0.7899930000000097
2021-07-26	SI	0.04998799999998482
2021-07-27	SI	0.8600009999999827
2021-07-28	NO	0.5500030000000038
2021-07-29	NO	0.5600120000000004
2021-07-30	NO	0.3399960000000135
2021-08-02	NO	0.1999969999999962
2021-08-03	SI	1.660002999999989
2021-08-04	NO	0.8399959999999851
2021-08-05	NO	0.1600040000000149
2021-08-06	NO	0.8300009999999816
2021-08-09	NO	0.009994000000006054
2021-08-10	SI	0.5100089999999966
2021-08-11	NO	0.4499969999999962
2021-08-12	SI	1.3799899999999923
2021-08-13	SI	0.9600069999999903
2021-08-16	SI	1.2899930000000097
2021-08-17	SI	2.160002999999989
2021-08-18	NO	2.3099980000000073
2021-08-19	SI	1.9500120000000152
2021-08-20	SI	0.5500030000000038
2021-08-23	NO	0.7799979999999778
2021-08-24	NO	1.6000060000000076
2021-08-25	NO	1.4600059999999928
2021-08-26	NO	0.6499939999999924
2021-08-27	NO	1.3500060000000076
2021-08-30	SI	0.8700109999999768
2021-08-31	NO	0.3599999999999852
2021-09-01	SI	0.8400110000000041
2021-09-02	SI	0.5899969999999826
2021-09-03	NO	0.060012999999997874
2021-09-07	NO	2.0299990000000037
2021-09-08	SI	0.27999900000000366
2021-09-09	NO	3.1199949999999887
