Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,232.000000,238.500000,231.750000,238.029999,238.029999,167900
2021-04-27,238.589996,240.940002,236.539993,239.539993,239.539993,144100
2021-04-28,239.789993,240.115005,233.850006,234.000000,234.000000,126400
2021-04-29,235.470001,236.378006,229.229996,233.800003,233.800003,147800
2021-04-30,231.050003,236.889999,229.000000,229.179993,229.179993,139100
2021-05-03,231.869995,232.039993,221.880005,223.240005,223.240005,190100
2021-05-04,220.630005,220.630005,214.089996,216.630005,216.630005,117900
2021-05-05,219.490005,222.399994,215.240005,216.009995,216.009995,107400
2021-05-06,215.169998,215.416000,208.710007,212.639999,212.639999,163400
2021-05-07,215.199997,221.330002,215.199997,217.880005,217.880005,135200
2021-05-10,216.949997,216.949997,211.300003,213.500000,213.500000,239900
2021-05-11,207.009995,213.919998,205.080002,213.070007,213.070007,195300
2021-05-12,209.229996,210.130005,203.660004,205.320007,205.320007,169000
2021-05-13,208.320007,210.000000,202.580002,204.529999,204.529999,272100
2021-05-14,220.000000,224.690002,214.289993,214.960007,214.960007,648900
2021-05-17,213.419998,214.009995,206.744995,212.580002,212.580002,227200
2021-05-18,213.729996,219.307999,213.039993,216.520004,216.520004,211400
2021-05-19,210.229996,217.539993,209.009995,217.389999,217.389999,158700
2021-05-20,218.500000,221.949997,217.380005,218.490005,218.490005,206400
2021-05-21,219.660004,220.089996,212.100006,213.839996,213.839996,252500
2021-05-24,214.940002,218.529999,214.130005,217.309998,217.309998,128900
2021-05-25,212.009995,216.475006,209.809998,215.960007,215.960007,443000
2021-05-26,223.990005,229.889999,217.419998,218.380005,218.380005,774700
2021-05-27,216.940002,219.740005,210.960007,217.220001,217.220001,359300
2021-05-28,217.580002,220.399994,215.070007,217.869995,217.869995,196700
2021-06-01,218.470001,219.770004,212.570007,213.570007,213.570007,220100
2021-06-02,213.330002,215.065002,211.119995,212.440002,212.440002,377100
2021-06-03,211.000000,211.699997,207.220001,208.279999,208.279999,273800
2021-06-04,209.639999,213.679993,209.000000,213.339996,213.339996,228300
2021-06-07,213.600006,214.164993,211.009995,213.699997,213.699997,140900
2021-06-08,215.000000,217.449997,211.029999,211.360001,211.360001,137100
2021-06-09,212.110001,213.544998,208.759995,208.869995,208.869995,121700
2021-06-10,207.649994,214.009995,207.500000,213.710007,213.710007,156800
2021-06-11,213.259995,218.089996,213.259995,218.080002,218.080002,139000
2021-06-14,218.639999,220.809998,217.389999,218.259995,218.259995,179100
2021-06-15,218.250000,220.929993,215.330002,216.889999,216.889999,300900
2021-06-16,217.339996,219.509995,214.190002,215.619995,215.619995,174800
2021-06-17,215.070007,223.949997,215.070007,223.259995,223.259995,136900
2021-06-18,223.339996,225.080002,219.164993,219.919998,219.919998,177600
2021-06-21,219.910004,223.770004,216.660004,222.419998,222.419998,95100
2021-06-22,221.199997,225.835007,220.391006,225.440002,225.440002,129400
2021-06-23,225.800003,227.440002,223.669998,226.210007,226.210007,275300
2021-06-24,229.100006,229.220001,226.250000,227.570007,227.570007,168400
2021-06-25,220.539993,227.130005,218.041000,226.750000,226.750000,692100
2021-06-28,228.770004,229.490005,226.539993,228.979996,228.979996,199900
2021-06-29,229.250000,229.559998,226.479996,226.889999,226.889999,240300
2021-06-30,225.350006,225.350006,219.134995,219.179993,219.179993,220600
2021-07-01,218.479996,220.110001,215.089996,216.300003,216.300003,184700
2021-07-02,218.000000,220.300003,215.240005,216.110001,216.110001,138900
2021-07-06,215.970001,219.119995,215.649994,218.580002,218.580002,228600
2021-07-07,221.429993,223.309998,218.369995,222.990005,222.990005,169700
2021-07-08,217.869995,218.250000,214.929993,216.110001,216.110001,101700
2021-07-09,215.789993,220.210007,214.009995,220.009995,220.009995,97800
2021-07-12,220.009995,224.429993,220.009995,222.500000,222.500000,256700
2021-07-13,221.830002,224.919998,221.830002,223.600006,223.600006,162000
2021-07-14,227.399994,227.750000,220.520004,220.919998,220.919998,244300
2021-07-15,220.929993,221.949997,215.789993,218.369995,218.369995,156400
2021-07-16,220.809998,223.729996,218.089996,218.970001,218.970001,197300
2021-07-19,215.130005,219.869995,214.690002,219.130005,219.130005,217200
2021-07-20,221.199997,231.880005,220.220001,230.270004,230.270004,231800
2021-07-21,231.000000,231.240005,226.679993,229.199997,229.199997,155000
2021-07-22,230.330002,232.000000,228.470001,231.559998,231.559998,196300
2021-07-23,231.050003,238.520004,230.744995,237.660004,237.660004,163600
2021-07-26,237.919998,237.919998,233.889999,235.279999,235.279999,121100
2021-07-27,235.320007,235.524994,229.440002,233.389999,233.389999,167000
2021-07-28,239.000000,243.880005,238.899994,241.279999,241.279999,312100
2021-07-29,241.000000,243.190002,239.119995,240.970001,240.970001,200600
2021-07-30,238.570007,242.550003,237.000000,239.160004,239.160004,165800
2021-08-02,241.990005,241.990005,234.335007,235.399994,235.399994,248500
2021-08-03,241.059998,242.669998,233.875000,238.429993,238.429993,258400
2021-08-04,237.009995,243.220001,236.229996,242.929993,242.929993,244500
2021-08-05,244.000000,252.380005,242.389999,250.320007,250.320007,292700
2021-08-06,249.190002,259.489990,247.949997,258.309998,258.309998,356800
2021-08-09,258.309998,259.799988,251.029999,251.250000,251.250000,271800
2021-08-10,253.445007,255.169998,250.740005,253.039993,253.039993,255700
2021-08-11,253.789993,261.109985,253.789993,256.670013,256.670013,346900
2021-08-12,256.000000,264.959991,255.610001,260.809998,260.809998,417800
2021-08-13,270.250000,277.989990,260.910004,271.420013,271.420013,467200
2021-08-16,270.820007,276.350006,268.709991,275.809998,275.809998,284600
2021-08-17,275.160004,287.295013,274.119995,285.179993,285.179993,586100
2021-08-18,282.549988,290.385010,282.342010,286.500000,286.500000,481600
2021-08-19,284.690002,289.059998,283.720001,288.670013,288.670013,394100
2021-08-20,290.010010,296.700012,287.420013,296.440002,296.440002,246700
2021-08-23,297.000000,306.359985,297.000000,303.790009,303.790009,442400
2021-08-24,305.660004,313.739990,305.660004,310.470001,310.470001,550200
2021-08-25,310.510010,313.768005,307.130005,309.679993,309.679993,314700
2021-08-26,313.760010,314.750000,307.950012,314.250000,314.250000,281500
2021-08-27,315.390015,321.480011,315.001007,319.230011,319.230011,332000
2021-08-30,319.880005,324.380005,317.399994,322.600006,322.600006,352300
2021-08-31,323.420013,324.105011,315.527008,322.279999,322.279999,349300
2021-09-01,324.179993,326.709991,321.019989,324.029999,324.029999,327500
